node_id,node_type,label,agora_id,casual_name,link_to_document,most_recent_activity,most_recent_activity_date,jurisdiction,parent_authority,description,document_id,segment_position,summary,non_operative,not_ai_related,source_column
segment:384_4,Segment,Segment 4,,,,,,,,,384,4,"Mandates that the task force will study and recommend solutions, legislation, and funding mechanisms necessary to implement a statewide data sharing system.",false,false,
segment:384_5,Segment,Segment 5,,,,,,,,,384,5,"Declares the implementation of a data sharing system to be of emergency status, and hence the act to be immediately effective.",false,false,
segment:385_1,Segment,Segment 1,,,,,,,,,385,1,Urges the President and Congress to develop an AI Advisory Committee and adopt an AI policy.,false,false,
segment:385_2,Segment,Segment 2,,,,,,,,,385,2,Recognizes the need for federal planning to protect the workforce from AI-driven changes.,false,false,
segment:385_3,Segment,Segment 3,,,,,,,,,385,3,Urges the U.S. President and Congress to develop AI policy and advisory committee.,false,false,
segment:389_1,Segment,Segment 1,,,,,,,,,389,1,Names the legislation the Illinois Future of Work Act.,false,false,
segment:389_2,Segment,Segment 2,,,,,,,,,389,2,"Declares the importance of addressing workforce challenges, technological impacts, and fostering public-private partnerships for economic recovery.",false,false,
segment:389_3,Segment,Segment 3,,,,,,,,,389,3,Creates the Illinois Future of Work Task Force to address employment impacts and propose workforce development.,false,false,
segment:389_4,Segment,Segment 4,,,,,,,,,389,4,Requires the Illinois Future of Work Task Force to include diverse members and hold seven monthly meetings.,false,false,
segment:389_5,Segment,Segment 5,,,,,,,,,389,5,"Requires task force to issue a report and dissolve after submission by May 1, 2022.",false,false,
segment:390_1,Segment,Segment 1,,,,,,,,,390,1,,false,true,
segment:390_2,Segment,Segment 2,,,,,,,,,390,2,,true,true,
segment:390_3,Segment,Segment 3,,,,,,,,,390,3,,false,true,
segment:390_4,Segment,Segment 4,,,,,,,,,390,4,,false,true,
segment:390_5,Segment,Segment 5,,,,,,,,,390,5,"Amends the role of Chief Technology Officer to evaluate the feasibility of using AI, machine learning, and commercial cloud computing services, as well as other emerging technologies, by state agencies.",false,false,
segment:392_1,Segment,Segment 1,,,,,,,,,392,1,Amends regulations to allow patient access to intelligent personal assistants in healthcare facilities.,false,false,
segment:392_2,Segment,Segment 2,,,,,,,,,392,2,Mandates conformity to health and safety standards set by medical professionals and Titles XVIII and XIX.,false,false,
segment:392_3,Segment,Segment 3,,,,,,,,,392,3,"Requires minimum standards for healthcare facilities, physician availability, classification, organ donation protocols, and patient rights.",false,false,
segment:392_4,Segment,Segment 4,,,,,,,,,392,4,Requires hospitals and nursing facilities to implement policies for patient use of intelligent personal assistants.,false,false,
segment:392_5,Segment,Segment 5,,,,,,,,,392,5,"Permits licensed facilities to operate adult day care centers upon obtaining necessary licenses.  
Requires licensed facilities storing clotting factors to maintain records and notify recipients of contamination.",false,true,
segment:394_1,Segment,Segment 1,,,,,,,,,394,1,Mandates developing a DoD bug bounty program not later than 180 days after the date of the enactment of this Act.,false,false,
segment:394_2,Segment,Segment 2,,,,,,,,,394,2,Requires the Chief to brief congressional defense committees on bug bounty programs within one year.,false,false,
segment:395_1,Segment,Segment 1,,,,,,,,,395,1,"Provides a framework for AI innovation and accountability through research, transparency, and risk management policies.",true,false,
segment:395_2,Segment,Segment 2,,,,,,,,,395,2,Amends the definition of data assets to include data models and defines artificial intelligence systems.,true,false,
segment:395_3,Segment,Segment 3,,,,,,,,,395,3,Requires the Under Secretary of Commerce for Standards and Technology to conduct research to create and standardize methods for verifying and tracking the origin of content created by both humans and AI.,false,false,
segment:395_4,Segment,Segment 4,,,,,,,,,395,4,Amends Section 22A(b)(1) of the National Institute of Standards and Technology Act to require the addition of detecting AI outputs and anomalies and the use of safeguards to prevent misuse.,false,false,
segment:395_5,Segment,Segment 5,,,,,,,,,395,5,Requires the the Comptroller General of the United States to review and identify best practices for AI use in Federal Government.,false,false,
segment:395_6,Segment,Segment 6,,,,,,,,,395,6,Establishes accountability measures for artificial intelligence systems.,true,false,
segment:395_7,Segment,Segment 7,,,,,,,,,395,7,Provides relevant definitions within the instrument.,false,false,
segment:395_8,Segment,Segment 8,,,,,,,,,395,8,Makes it unlawful to operate a covered internet platform using generative AI unless users are notified of AI-generated content.,false,false,
segment:395_9,Segment,Segment 9,,,,,,,,,395,9,Requires deployers of high-impact artificial intelligence systems to submit a report on design and safety plans for high-impact AI before deployment and annually thereafter.,false,false,
segment:395_10,Segment,Segment 10,,,,,,,,,395,10,Makes an amendment to the National Institute of Standards and Technology Act requiring the Director to develop and regularly update sector-specific recommendations for federal agencies to oversee high-impact AI systems.,false,false,
segment:395_11,Segment,Segment 11,,,,,,,,,395,11,"Makes an amendment that mandates that within one year of enactment, the Under Secretary must submit NIST recommendations to relevant parties, who must then provide formal responses and timetables for adoption or reasons for refusal, with all documents made public.",false,false,
segment:395_12,Segment,Segment 12,,,,,,,,,395,12,"Mandates that critical-impact AI organizations conduct and report risk management assessments before public release and biennially thereafter, addressing various risk categories, with developers required to provide necessary information for compliance; the Secretary may request additional details but cannot prohibit system availability based on these reports.",false,false,
segment:395_13,Segment,Segment 13,,,,,,,,,395,13,"Establishes an Artificial Intelligence Certification Advisory Committee to advise on testing and certification standards for critical-impact AI systems, mandates the Secretary to create and periodically update a certification plan, and requires the issuance of TEVV standards, with exemptions and self-certification provisions;",false,false,
segment:395_14,Segment,Segment 14,,,,,,,,,395,14,"Authorizes the Secretary to impose civil penalties for noncompliance with AI regulations, including fines up to $300,000 or twice the transaction value, and to prohibit deployment for intentional violations; it also permits civil actions by the Attorney General for enforcement and protects sensitive information from disclosure.",false,false,
segment:395_15,Segment,Segment 15,,,,,,,,,395,15,"Mandates the creation of a working group within 180 days to recommend educational programs for artificial intelligence, focusing on informing consumers and stakeholders about AI systems.",false,false,
segment:396_1,Segment,Segment 1,,,,,,,,,396,1,Enacts a law by the United States Congress.,true,true,
segment:396_2,Segment,Segment 2,,,,,,,,,396,2,"Cites the Act as the ""Artificial Intelligence Accountability Act"" or ""AI Accountability Act"".",true,false,
segment:396_3,Segment,Segment 3,,,,,,,,,396,3,Mandates a study on accountability measures for artificial intelligence systems.,true,false,
segment:396_4,Segment,Segment 4,,,,,,,,,396,4,"Requires the Assistant Secretary to study AI accountability measures in communications, digital inclusion, risks, and trustworthiness.",false,false,
segment:396_5,Segment,Segment 5,,,,,,,,,396,5,Requires holding public meetings to consult stakeholders for feedback on AI accountability measures.,false,false,
segment:396_6,Segment,Segment 6,,,,,,,,,396,6,"Requires the Assistant Secretary to report study results, feedback, and recommendations to relevant congressional committees.",false,false,
segment:396_7,Segment,Segment 7,,,,,,,,,396,7,"Defines ""accountability measure"" as mechanisms ensuring system trustworthiness, including audits, assessments, or certifications.",false,false,
segment:396_8,Segment,Segment 8,,,,,,,,,396,8,Requires the Assistant Secretary to hold meetings and submit a report on AI system information availability.,false,false,
segment:397_1,Segment,Segment 1,,,,,,,,,397,1,Names the Act as the “Federal Artificial Intelligence Risk Management Act of 2023”.,true,false,
segment:397_2,Segment,Segment 2,,,,,,,,,397,2,Requires agencies to incorporate NIST's AI risk management framework and guidelines into their AI efforts.,false,false,
segment:397_3,Segment,Segment 3,,,,,,,,,397,3,Provides draft contract language requiring AI suppliers to adhere to framework and provide data access for evaluation.,false,false,
segment:397_4,Segment,Segment 4,,,,,,,,,397,4,"Mandates regulations for AI acquisition requirements and compliance, including solicitation provisions and contract clauses.",false,false,
segment:397_5,Segment,Segment 5,,,,,,,,,397,5,Mandates the establishment of an AI expertise initiative for federal agencies within 180 days.,false,false,
segment:397_6,Segment,Segment 6,,,,,,,,,397,6,"Requires the Director of NIST to study, develop, and update AI testing and evaluation standards.",false,false,
segment:398_2,Segment,Segment 2,,,,,,,,,398,2,Waives immunity for generative AI claims under section 230 of the Communications Act of 1934.,true,false,
segment:398_3,Segment,Segment 3,,,,,,,,,398,3,Introduces a bill to waive Section 230 immunity for generative AI-related claims and charges.,true,false,
segment:398_4,Segment,Segment 4,,,,,,,,,398,4,Amends Section 230 to remove immunity for claims related to generative artificial intelligence conduct.,false,false,
segment:399_2,Segment,Segment 2,,,,,,,,,399,2,"Requires reports on AI regulation, establishes bug bounty programs, and mandates vulnerability analysis and data sharing.",false,false,
segment:399_3,Segment,Segment 3,,,,,,,,,399,3,"Requires reports on AI regulation in finance, AI bug bounties, and AI military vulnerabilities.",false,false,
segment:399_4,Segment,Segment 4,,,,,,,,,399,4,"Cites the Act as the ""Artificial Intelligence Advancement Act of 2023."" Defines key terms including ""congressional defense committees.""",false,false,
segment:399_5,Segment,Segment 5,,,,,,,,,399,5,"Requires the Board of Governors of the Federal Reserve System, the Federal Deposit Insurance Corporation, the Office of the Comptroller of the Currency, the National Credit Union Administration, and the Bureau of Consumer Financial Protection to submit a report to Congress on its gaps in knowledge relating to artificial intelligence in six key issue areas.",false,false,
segment:399_6,Segment,Segment 6,,,,,,,,,399,6,Requires the Department of Defense to develop a bug bounty program for foundational artificial intelligence models being integrated into Department of Defense missions and operations.,false,false,
segment:399_7,Segment,Segment 7,,,,,,,,,399,7,"Requires the Chief Digital and Artificial Intelligence Officer (CDAO) of the Department of Defense to complete a study analyzing the vulnerabilities to the privacy, security, and accuracy of artificial intelligence-enabled military applications.",false,false,
segment:399_8,Segment,Segment 8,,,,,,,,,399,8,"Requires the Secretary of Defense to submit to a report on ways to improve data sharing, interoperability, and quality, across the Department of Defense.",false,false,
segment:400_1,Segment,Segment 1,,,,,,,,,400,1,Cites the Act as the “Artificial Intelligence Environmental Impacts Act of 2024”.,true,false,
segment:400_2,Segment,Segment 2,,,,,,,,,400,2,Finds rapid AI computational power increase and potential energy consumption rise despite efficiency gains.,true,false,
segment:400_3,Segment,Segment 3,,,,,,,,,400,3,"Defines terms like artificial intelligence, AI model, AI system, and voluntary reporting entity.",false,false,
segment:400_4,Segment,Segment 4,,,,,,,,,400,4,"Requires the EPA to study and report AI's full lifecycle environmental impacts, including energy and pollution.",false,false,
segment:400_5,Segment,Segment 5,,,,,,,,,400,5,"Convenes a consortium to measure, report, and mitigate environmental impacts of artificial intelligence.",false,false,
segment:400_6,Segment,Segment 6,,,,,,,,,400,6,Requires the Director to develop a voluntary AI environmental impact reporting system with public guidelines and accessibility.,false,false,
segment:400_7,Segment,Segment 7,,,,,,,,,400,7,"Requires joint submission of findings, reporting system descriptions, and recommendations for AI's environmental impact to Congress.",false,false,
segment:401_1,Segment,Segment 1,,,,,,,,,401,1,Cites the Act as the “CLOUD AI Act”.,true,false,
segment:401_2,Segment,Segment 2,,,,,,,,,401,2,Finds adversarial countries undermine global stability and U.S. security. Highlights China's military-civil fusion and AI weaponization.,true,false,
segment:401_3,Segment,Segment 3,,,,,,,,,401,3,"Directs the Secretary of Commerce to prohibit United States persons and subsidiaries from providing support for the remote or cloud use of any integrated circuit listed under Export Control Classification Number 3A090 and 4A090 of the Export Administration Regulations by an entity located in the People’s Republic of China or Macau.

Allows the Secretary of Commerce to issue such regulations as necessary for this purpose.",false,false,
segment:403_1,Segment,Segment 1,,,,,,,,,403,1,,true,false,
segment:403_2,Segment,Segment 2,,,,,,,,,403,2,,true,false,
segment:403_3,Segment,Segment 3,,,,,,,,,403,3,Establishes the authority of the Chief Digital and AI Officer Governing Council for the Department of Defense data management.,false,false,
segment:403_4,Segment,Segment 4,,,,,,,,,403,4,"Establishes the Chief Digital and Artificial Intelligence Officer Governing Council, to oversee ethical AI use in the Department of Defense, consisting of senior officials and led by the Chief Digital and Artificial Intelligence Officer.",false,false,
segment:403_5,Segment,Segment 5,,,,,,,,,403,5,"Outlines the duties of the Chief Digital and Artificial Intelligence Officer, including streamlining AI development and oversight, improved governance coordination, and establishing ethical AI guidance and monitoring.",false,false,
segment:405_1,Segment,Segment 1,,,,,,,,,405,1,,true,false,
segment:405_2,Segment,Segment 2,,,,,,,,,405,2,,true,false,
segment:405_3,Segment,Segment 3,,,,,,,,,405,3,Requires the Secretary of Defense to establish a working group to coordinate an AI initiative among Five Eyes countries.,false,false,
segment:405_4,Segment,Segment 4,,,,,,,,,405,4,Designates a senior civilian officer of the Department of Defense to head the Working Group and encourages Five Eyes member participation.,false,false,
segment:405_5,Segment,Segment 5,,,,,,,,,405,5,Outlines responsibilities of the Working Group to develop and coordinates efforts to implement an AI initiative among Five Eyes intelligence and defense entities.,false,false,
segment:405_6,Segment,Segment 6,,,,,,,,,405,6,Ensures knowledge and technical data from a Five Eyes country's cooperative project remains under that country's export control laws.,false,false,
segment:405_7,Segment,Segment 7,,,,,,,,,405,7,"Requires submission of a plan detailing the Working Group's structure, funding, integration with defense initiatives, and performance metrics, followed by biannual reports assessing its activities and progress.",false,false,
segment:405_8,Segment,Segment 8,,,,,,,,,405,8,"Terminates the Working Group on September 30, 2028, unless extended by the Secretary of Defense.",false,false,
segment:405_9,Segment,Segment 9,,,,,,,,,405,9,"Defines terms such as ""covered operational use"" and ""Five Eyes countries"" for the purposes of the Act.",false,false,
segment:406_1,Segment,Segment 1,,,,,,,,,406,1,,true,false,
segment:406_2,Segment,Segment 2,,,,,,,,,406,2,,true,false,
segment:406_3,Segment,Segment 3,,,,,,,,,406,3,,true,false,
segment:406_4,Segment,Segment 4,,,,,,,,,406,4,,true,false,
segment:406_5,Segment,Segment 5,,,,,,,,,406,5,Amends the Digital Equity Act to include artificial intelligence literacy in digital literacy skills.,false,false,
segment:406_6,Segment,Segment 6,,,,,,,,,406,6,"Expands the Digital Equity Competitive Grant Program to fund initiatives that promote artificial intelligence literacy in public schools and community colleges, including teacher training, curriculum development, lab equipment, and virtual learning platforms.",false,false,
segment:406_7,Segment,Segment 7,,,,,,,,,406,7,"Authorizes grants to support AI literacy by funding labs, virtual platforms, and teaching tools in higher education and by providing training and community programming through community institutions.",false,false,
segment:406_8,Segment,Segment 8,,,,,,,,,406,8,Requires the Assistant Secretary to submit an annual report to Congress identifying specific areas for expansion or modification.,false,false,
segment:408_1,Segment,Segment 1,,,,,,,,,408,1,Requires the Secretary to develop a public health strategy for AI threats.,true,false,
segment:408_2,Segment,Segment 2,,,,,,,,,408,2,Requires the Secretary of Health and Human Services to strategize public health responses to AI threats.,true,false,
segment:408_3,Segment,Segment 3,,,,,,,,,408,3,Cites the Act as “Strategy for Public Health Preparedness and Response to Artificial Intelligence Threats”.,true,false,
segment:408_4,Segment,Segment 4,,,,,,,,,408,4,"Defines the term ""Artificial Intelligence"" by referencing the meaning assigned to the term in section 238(g) of the 2019 John S. McCain National Defense Authorization Act; i.e., any artificial system—implemented in software, hardware, or other forms—that can perform human-like or rational tasks, learn from data, operate with limited human oversight, and use techniques such as machine learning to approximate cognitive functions.",false,false,
segment:408_5,Segment,Segment 5,,,,,,,,,408,5,"Requires the Secretary to develop and submit to Congress a strategy for AI misuse threats to national health security within 180 days, including a framework for public health preparedness and response to mitigate the risks of misuse of artificial intelligence; an outline of the duties, functions, and preparedness goals for which the Secretary is responsible; gaps in public health capabilities and strategies to address these gaps and strengthen emergency preparedness against AI threats; strategies to mitigate risks, such as the development of biological weapons and treatment-resistant viruses and bacteria.",false,false,
segment:408_6,Segment,Segment 6,,,,,,,,,408,6,Amends the Public Health Service Act to address AI misuse threats in national health security.,false,false,
segment:410_1,Segment,Segment 1,,,,,,,,,410,1,Directs the NIH Director to establish a grant program for generative AI research in health care.,true,false,
segment:410_2,Segment,Segment 2,,,,,,,,,410,2,Directs the NIH Director to establish a grant program for generative AI research in healthcare.,true,false,
segment:410_3,Segment,Segment 3,,,,,,,,,410,3,"Cites the Act as the ""HEALTH AI Act.""",true,false,
segment:410_4,Segment,Segment 4,,,,,,,,,410,4,Establishes grants for research on using generative AI to enhance various health care processes and outcomes.,false,false,
tag:incentives__subsidies,Tag,Incentives: Subsidies,,,,,,,,,,,,,,
topic:incentives__subsidies,Topic,Incentives: Subsidies,,,,,,,,,,,,,,Incentives: Subsidies
segment:410_5,Segment,Segment 5,,,,,,,,,410,5,"Defines artificial intelligence, eligible entities, generative AI, and medically underserved population with specific legal references.",true,false,
segment:411_2,Segment,Segment 2,,,,,,,,,411,2,Directs NIST and State Department to promote U.S. leadership in AI and technology standards.,false,false,
segment:411_3,Segment,Segment 3,,,,,,,,,411,3,Introduces a bill directing NIST and State Department to promote U.S. leadership in AI standards development.,false,false,
segment:411_4,Segment,Segment 4,,,,,,,,,411,4,Cites the Act as the “Promoting United States Leadership in Standards Act of 2024”.,false,false,
segment:411_5,Segment,Segment 5,,,,,,,,,411,5,"Defines ""artificial intelligence"" based on National Science and Technology Council's list. Defines ""Director"" as NIST's Director.",false,false,
segment:411_6,Segment,Segment 6,,,,,,,,,411,6,Requires the Director to brief Congress on federal participation in AI and emerging technology standards development.,false,false,
segment:411_7,Segment,Segment 7,,,,,,,,,411,7,Establishes a web portal to inform and assist U.S. industry and agencies in international AI standards efforts.,false,false,
segment:411_8,Segment,Segment 8,,,,,,,,,411,8,Requires the Director to establish a pilot program supporting AI standards meetings within 180 days.,false,false,
segment:411_9,Segment,Segment 9,,,,,,,,,411,9,Defines eligible entities as organizations developing AI standards or those hosting such organizations.,false,false,
segment:411_10,Segment,Segment 10,,,,,,,,,411,10,"Awards grants to eligible entities for hosting AI standards meetings, covering up to 50% of costs.",false,false,
segment:411_11,Segment,Segment 11,,,,,,,,,411,11,"Requires the Director to develop and update guidance covering eligibility, awards, duration, merit review, and reporting.",false,false,
segment:411_12,Segment,Segment 12,,,,,,,,,411,12,"Requires the Director to brief Congress annually on the pilot program's effectiveness, grant recipients, and expenses.",false,false,
segment:411_13,Segment,Segment 13,,,,,,,,,411,13,Requires the Director to recommend permanent implementation and submit those recommendations to Congress within three years.,false,false,
segment:414_1,Segment,Segment 1,,,,,,,,,414,1,"Cites the Act as the ""Eliminating Bias in Algorithmic Systems Act of 2023"".",true,false,
segment:414_2,Segment,Segment 2,,,,,,,,,414,2,"Defines ""agency"" and ""covered agency"" for the purposes of this Act.",false,false,
segment:414_3,Segment,Segment 3,,,,,,,,,414,3,"Defines ""covered algorithm"" for the purposes of this Act.",false,false,
segment:414_4,Segment,Segment 4,,,,,,,,,414,4,Requires each agency to have a civil rights office addressing algorithmic bias and discrimination.,false,false,
segment:414_5,Segment,Segment 5,,,,,,,,,414,5,"Requires civil rights offices to report algorithmic bias, discrimination, and mitigation steps to relevant congressional committees.",false,false,
segment:415_1,Segment,Segment 1,,,,,,,,,415,1,Cites the Act as the “Preventing Algorithmic Collusion Act of 2024”.,false,false,
segment:415_2,Segment,Segment 2,,,,,,,,,415,2,"Defines antitrust laws, commercial terms, Commission, distribution, nonpublic competitor data, nonpublic data, person, price, pricing algorithm.",false,false,
segment:415_3,Segment,Segment 3,,,,,,,,,415,3,Requires submission of detailed pricing algorithm reports within 30 days upon request by the Attorney General or Commission.,false,false,
segment:415_4,Segment,Segment 4,,,,,,,,,415,4,"Allows report sharing between DOJ, Commission, and NIST. Prohibits NIST from disclosing report contents to others.",false,false,
segment:415_5,Segment,Segment 5,,,,,,,,,415,5,Prohibits using pricing algorithms with nonpublic competitor data.,false,false,
segment:415_6,Segment,Segment 6,,,,,,,,,415,6,Presumes an agreement if a pricing algorithm is used to fix prices in a related market.,false,false,
segment:415_7,Segment,Segment 7,,,,,,,,,415,7,Specifies the rebuttal conditions for defendants not developing the pricing algorithm and lacking actual knowledge.,false,false,
segment:415_8,Segment,Segment 8,,,,,,,,,415,8,Requires businesses to disclose algorithmic pricing to customers and workers before transactions.,false,false,
segment:415_9,Segment,Segment 9,,,,,,,,,415,9,"Requires disclosure of price discrimination and third-party algorithms, including developer identity, if applicable.",false,false,
segment:415_10,Segment,Segment 10,,,,,,,,,415,10,Constitutes an unfair practice under FTC Act. Allows FTC to bring civil actions and impose penalties.,false,false,
segment:415_11,Segment,Segment 11,,,,,,,,,415,11,"Mandates the FTC to study and publish findings on pricing algorithms' use, effects, and regulatory recommendations.",false,false,
segment:416_1,Segment,Segment 1,,,,,,,,,416,1,Prohibits trade secrets privileges blocking defense evidence access in criminal cases. Establishes forensic algorithm testing standards.,true,false,
segment:416_2,Segment,Segment 2,,,,,,,,,416,2,"Requires NIST to establish computational forensic algorithm testing standards within one year, addressing disparate impact assessment.",false,false,
segment:416_3,Segment,Segment 3,,,,,,,,,416,3,"Requires testing software under specific conditions with various data, methodologies, and detailed performance statistics reported.",false,false,
segment:416_4,Segment,Segment 4,,,,,,,,,416,4,"Requires developers to document software purpose, function, development, and testing methodology.",false,false,
segment:416_5,Segment,Segment 5,,,,,,,,,416,5,Issues testing standards via rulemaking under section 553. Consults experts in multiple fields. Removes trade secret privilege in criminal proceedings.,false,false,
segment:416_6,Segment,Segment 6,,,,,,,,,416,6,Requires federal use of forensic algorithms to comply with NIST testing and publicize validation results.,false,false,
segment:416_7,Segment,Segment 7,,,,,,,,,416,7,Requires retesting after material software changes. Provides defendants access to forensic software and detailed analysis reports.,false,false,
segment:416_8,Segment,Segment 8,,,,,,,,,416,8,Allows evidence if software passes NIST testing and developers waive legal claims for defense analysis.,false,false,
segment:416_9,Segment,Segment 9,,,,,,,,,416,9,"Defines ""computational forensic software,"" ""material change,"" and ""nonmaterial change"" for forensic software processes and updates.",false,false,
segment:418_1,Segment,Segment 1,,,,,,,,,418,1,Directs the FTC to require impact assessments for automated and augmented critical decision processes.,false,false,
segment:418_2,Segment,Segment 2,,,,,,,,,418,2,Directs the Federal Trade Commission to mandate impact assessments for automated decision systems.,false,false,
segment:418_3,Segment,Segment 3,,,,,,,,,418,3,Names the Act as the “Algorithmic Accountability Act of 2023”.,true,false,
segment:418_4,Segment,Segment 4,,,,,,,,,418,4,"Defines ""augmented critical decision process"" as using automated systems for critical decisions, impacting consumers substantially.",false,false,
segment:418_5,Segment,Segment 5,,,,,,,,,418,5,"Requires the Federal Trade Commission (FTC) to issue regulations outlining impact-assessment guidelines for covered entities, mandating impact assessments, documentation, and annual summary reports for automated decision systems, and directing covered entities to disclose their status, consult stakeholders, mitigate negative consumer impacts, and follow standardized reporting and privacy guidelines established by the FTC.",false,false,
segment:418_6,Segment,Segment 6,,,,,,,,,418,6,"Requires covered entities to conduct and document comprehensive impact assessments of automated decision systems that compare prior processes and evaluate privacy, security, performance, fairness, and consumer rights, while also mandating stakeholder consultation, data documentation, harm mitigation, staff training, and transparency measures, with flexibility in implementation and limited disclosure to summary reports.",false,false,
segment:418_7,Segment,Segment 7,,,,,,,,,418,7,"Requires covered entities to submit detailed summary reports to the Federal Trade Commission containing results from impact assessments, performance testing, stakeholder consultation, data practices, transparency measures, and any additional consumer protection criteria set by the Commission.",false,false,
segment:418_8,Segment,Segment 8,,,,,,,,,418,8,"Requires covered entities to disclose information regarding automated decision systems for the FTC to publish annual reports and maintain a readable repository of impact-assessment data to inform consumers, support research, and ensure transparency.",false,false,
segment:418_9,Segment,Segment 9,,,,,,,,,418,9,"Requires the FTC to publish and update guidance and training materials for compliance with impact-assessment requirements, and periodically review regulations with assistance from NIST and OSTP.",false,false,
segment:418_10,Segment,Segment 10,,,,,,,,,418,10,"Establishes Bureau of Technology within the FTC for advice, enforcement, assistance; authorizes personnel appointments, inter-federal cooperation, and appropriations.",false,false,
segment:418_11,Segment,Segment 11,,,,,,,,,418,11,"Treats violations as unfair practices under FTC authority; empowers FTC, state attorneys general, and other state officials to enforce using civil jurisdiction; coordinates state and federal civil enforcement.",false,false,
segment:418_12,Segment,Segment 12,,,,,,,,,418,12,Requires coordination with Federal and State agencies; prohibits preemption of local laws.,false,false,
segment:420_1,Segment,Segment 1,,,,,,,,,420,1,Establishes the Joint Autonomy Office to coordinate autonomous systems delivery in the Department of Defense.,false,false,
segment:420_2,Segment,Segment 2,,,,,,,,,420,2,Utilizes best practices to accelerate autonomous systems delivery to operational users.,false,false,
segment:420_3,Segment,Segment 3,,,,,,,,,420,3,Establishes up to 12 Highly Qualified Expert positions for autonomous systems program management.,false,false,
segment:420_4,Segment,Segment 4,,,,,,,,,420,4,"Ensures the Joint Autonomy Office accesses all datasets and centralizes access, implementing necessary security protocols.",false,false,
segment:420_5,Segment,Segment 5,,,,,,,,,420,5,Allows the Director to contract with private entities and ensures program compliance with section 3453 of title 10.,false,false,
segment:420_6,Segment,Segment 6,,,,,,,,,420,6,Requires the Director to coordinate activities with Department of Defense policies and research programs.,false,false,
segment:420_7,Segment,Segment 7,,,,,,,,,420,7,"Terminates the Office seven years post-enactment, unless extended by the Secretary with proper notification.",false,false,
segment:420_8,Segment,Segment 8,,,,,,,,,420,8,"Defines ""all-domain"" as multi-domain interoperability for autonomous systems. Allocates $55,000,000 for 2024.",false,false,
segment:420_9,Segment,Segment 9,,,,,,,,,420,9,Establishes a Department-wide classification framework for autonomous capabilities within 180 days of the Joint Autonomy Office's establishment.,false,false,
segment:420_10,Segment,Segment 10,,,,,,,,,420,10,"Requires the framework to classify human supervision levels, apply to various domains, and include cost estimates.",false,false,
segment:420_11,Segment,Segment 11,,,,,,,,,420,11,Requires the Director to report the framework details to congressional defense committees within 30 days.,false,false,
segment:420_12,Segment,Segment 12,,,,,,,,,420,12,Mandates biennial reassessment of framework and requires briefing congressional defense committees within 30 days.,false,false,
segment:420_13,Segment,Segment 13,,,,,,,,,420,13,Mandates the Under Secretary to instruct military services within 90 days to implement the framework.,false,false,
segment:420_14,Segment,Segment 14,,,,,,,,,420,14,Requires the Director to develop and implement integration plans for autonomous capabilities within one year.,false,false,
segment:420_15,Segment,Segment 15,,,,,,,,,420,15,Requires a Department-wide assessment of autonomy software integration into current and future systems.,false,false,
segment:420_16,Segment,Segment 16,,,,,,,,,420,16,"Requires an assessment of gaps in funding, acquisition processes, training, testing, and scaling commercial technologies.",false,false,
segment:420_17,Segment,Segment 17,,,,,,,,,420,17,Requires addressing assessed gaps with updated planning for autonomy software costs and detailed future cost projections.,false,false,
segment:420_18,Segment,Segment 18,,,,,,,,,420,18,"Standardizes autonomy software acquisition across military services, consulting various Defense Department officials and organizations.",false,false,
segment:420_19,Segment,Segment 19,,,,,,,,,420,19,Requires the Director to submit an unclassified report to congressional defense committees within 90 days.,false,false,
segment:422_1,Segment,Segment 1,,,,,,,,,422,1,"Requires the Secretary of Defense to provide a briefing to Congress by March 30, 2024 on the national security threats posed by Chinese autonomous ground vehicles operating in the U.S., particularly near sensitive government and military sites and their potential to share data with the Chinese Communist Party.",false,false,
segment:422_2,Segment,Segment 2,,,,,,,,,422,2,"Requires the briefing to include the type of data that can be collected, the dual-use implications of autonomous ground vehicle technologies and their enabling factors, and how the CCP or People’s Liberation Army could potentially use the data it collects in the United States to support its military operational planning.",false,false,
segment:428_1,Segment,Segment 1,,,,,,,,,428,1,,true,false,
segment:428_2,Segment,Segment 2,,,,,,,,,428,2,Requires the Secretary of Defense to carry out a pilot program to outsource basic allowance for housing rate calculation using AI.,false,false,
segment:428_3,Segment,Segment 3,,,,,,,,,428,3,Requires the Secretary to submit a report evaluating rates calculated through the pilot program to Armed Services Committees.,false,false,
segment:428_4,Segment,Segment 4,,,,,,,,,428,4,,false,true,
segment:429_1,Segment,Segment 1,,,,,,,,,429,1,Titles the Act as the “Healthy Technology Act of 2023”.,true,false,
segment:429_2,Segment,Segment 2,,,,,,,,,429,2,Defines AI as a licensed practitioner if state-authorized and federally approved to prescribe drugs.,false,false,
segment:431_1,Segment,Segment 1,,,,,,,,,431,1,Cites the Act as the “MARTTE Act of 2023”.,true,false,
segment:431_2,Segment,Segment 2,,,,,,,,,431,2,"Defines key terms used in the Act, including computer programming and AI-related occupational areas, digital personnel platforms, and human capital infrastructure for developing and tracking technical skills.",false,false,
segment:431_3,Segment,Segment 3,,,,,,,,,431,3,"Defines the qualification process for military computer programming and AI-related roles, including eligible training, experiences, and education, and defines the standard used to assess whether personnel meet required capabilities.",false,false,
segment:431_4,Segment,Segment 4,,,,,,,,,431,4,Finds the need to build infrastructure for military computer programming skills and workforce development.,true,false,
